siteid,sitename,damname,county,township,twd97lon,twd97lat,twd97tm2x,twd97tm2y,sampledate,samplelayer,sampledepth,itemname,itemengabbreviation,itemvalue,itemunit,note
2169,烏山頭水庫一,烏山頭水庫,臺南市,官田區,120.3768010,23.2116180,186213.61,2567853.27,"2025-11-20 12:09:21",表水,0.5,正磷酸鹽,PO4,-,mg/L,
2169,烏山頭水庫一,烏山頭水庫,臺南市,官田區,120.3768010,23.2116180,186213.61,2567853.27,"2025-11-20 12:09:21",表水,0.5,溶氧飽和度,DOS,82.5,%,
2169,烏山頭水庫一,烏山頭水庫,臺南市,官田區,120.3768010,23.2116180,186213.61,2567853.27,"2025-11-20 12:09:21",表水,0.5,溶氧(滴定法),DO2,-,mg/L,
2169,烏山頭水庫一,烏山頭水庫,臺南市,官田區,120.3768010,23.2116180,186213.61,2567853.27,"2025-11-20 12:09:21",表水,0.5,總鹼度,TAlk,-,mg/L,
2169,烏山頭水庫一,烏山頭水庫,臺南市,官田區,120.3768010,23.2116180,186213.61,2567853.27,"2025-11-20 12:09:21",表水,0.5,總硬度,TH,-,mg/L,
2169,烏山頭水庫一,烏山頭水庫,臺南市,官田區,120.3768010,23.2116180,186213.61,2567853.27,"2025-11-20 12:09:21",表水,0.5,總氮,TN,0.52,mg/L,
2169,烏山頭水庫一,烏山頭水庫,臺南市,官田區,120.3768010,23.2116180,186213.61,2567853.27,"2025-11-20 12:09:21",表水,0.5,亞硝酸鹽氮,NO2_N,-,mg/L,
2169,烏山頭水庫一,烏山頭水庫,臺南市,官田區,120.3768010,23.2116180,186213.61,2567853.27,"2025-11-20 12:09:21",表水,0.5,硝酸鹽氮,NO3_N,-,mg/L,
2169,烏山頭水庫一,烏山頭水庫,臺南市,官田區,120.3768010,23.2116180,186213.61,2567853.27,"2025-11-20 12:09:21",表水,0.5,總凱氏氮,TKN,-,mg/L,
2169,烏山頭水庫一,烏山頭水庫,臺南市,官田區,120.3768010,23.2116180,186213.61,2567853.27,"2025-11-20 12:09:21",表水,0.5,有機氮,Norg,-,mg/L,
2169,烏山頭水庫一,烏山頭水庫,臺南市,官田區,120.3768010,23.2116180,186213.61,2567853.27,"2025-11-20 12:09:21",表水,0.5,氨氮,NH3_N,0.01,mg/L,
2169,烏山頭水庫一,烏山頭水庫,臺南市,官田區,120.3768010,23.2116180,186213.61,2567853.27,"2025-11-20 12:09:21",表水,0.5,總有機碳,TOC,1.4,mg/L,
2169,烏山頭水庫一,烏山頭水庫,臺南市,官田區,120.3768010,23.2116180,186213.61,2567853.27,"2025-11-20 12:09:21",表水,0.5,化學需氧量,COD,<4.0,mg/L,
2169,烏山頭水庫一,烏山頭水庫,臺南市,官田區,120.3768010,23.2116180,186213.61,2567853.27,"2025-11-20 12:09:21",表水,0.5,溶氧(電極法),DO,6.9,mg/L,
2169,烏山頭水庫一,烏山頭水庫,臺南市,官田區,120.3768010,23.2116180,186213.61,2567853.27,"2025-11-20 12:09:21",表水,0.5,懸浮固體,SS,5.7,mg/L,
2169,烏山頭水庫一,烏山頭水庫,臺南市,官田區,120.3768010,23.2116180,186213.61,2567853.27,"2025-11-20 12:09:21",表水,0.5,氣溫,TMP,22,℃,
2169,烏山頭水庫一,烏山頭水庫,臺南市,官田區,120.3768010,23.2116180,186213.61,2567853.27,"2025-11-20 12:09:21",表水,0.5,採樣深度,SampleDepth,0.5,m,
2169,烏山頭水庫一,烏山頭水庫,臺南市,官田區,120.3768010,23.2116180,186213.61,2567853.27,"2025-11-20 12:09:21",表水,0.5,導電度,EC,243,μmho/cm25℃,
2169,烏山頭水庫一,烏山頭水庫,臺南市,官田區,120.3768010,23.2116180,186213.61,2567853.27,"2025-11-20 12:09:21",表水,0.5,濁度,TB,3.5,NTU,
2169,烏山頭水庫一,烏山頭水庫,臺南市,官田區,120.3768010,23.2116180,186213.61,2567853.27,"2025-11-20 12:09:21",表水,0.5,酸鹼值,pH,7.88," ",
2169,烏山頭水庫一,烏山頭水庫,臺南市,官田區,120.3768010,23.2116180,186213.61,2567853.27,"2025-11-20 12:09:21",表水,0.5,透明度,SD,1.1,m,
2169,烏山頭水庫一,烏山頭水庫,臺南市,官田區,120.3768010,23.2116180,186213.61,2567853.27,"2025-11-20 12:09:21",表水,0.5,水溫,WT,24.4,℃,
